paper_id,paper_title,q_id,q_type,question,expected_answer,expected_concepts,difficulty,source_page,status,reviewer_notes,corrected_answer,corrected_concepts
10_cutadapt,10_cutadapt,10_cutadapt_CO2,conceptual,How does the implementation of Cutadapt balance the trade-off between user accessibility and computational efficiency?,"Cutadapt is primarily implemented in Python to ensure ease of use and flexibility, but it utilizes C extensions for the core alignment tasks to achieve high speed. Despite these optimizations, the overall performance is often limited by input/output operations, such as file parsing, which can consume more than half of the total processing time.","Python implementation, C extensions, alignment speed, I/O bottleneck, parsing",medium,1-2,PENDING,,,
10_cutadapt,10_cutadapt,10_cutadapt_TE3,technical,What are the specific performance metrics for Cutadapt when processing 35 bp colour-space reads with an 18 bp adapter on a 2.66 GHz Intel Core 2 processor?,"Under these specific hardware and sequence parameters, Cutadapt can process approximately 1 million reads per minute. This performance corresponds to a per-read trimming speed of approximately 0.06 ms on a single processor core.","1 million reads per minute, 0.06 ms per read, single core, 2.66 GHz Intel Core 2",hard,2,PENDING,,,
17_brucellosis_ethiopia,17_brucellosis_ethiopia,17_brucellosis_ethiopia_FR1,factual_recall,What specific districts in the Somali Region of Ethiopia were included as study areas for this research?,"The study was conducted in three specific districts within the Somali Region of Ethiopia: Goro Baqaqsa, Guradamole, and Dolo Ado. These locations are represented in the study's map of the study areas.","Somali Region, Goro Baqaqsa, Guradamole, Dolo Ado, Ethiopia",easy,3,PENDING,,,
17_brucellosis_ethiopia,17_brucellosis_ethiopia,17_brucellosis_ethiopia_CO2,conceptual,"Based on the study's findings, how does the clinical history of livestock relate to the likelihood of brucellosis seropositivity in both small ruminants and camels?","In both species, a history of reproductive health issues, specifically Retained Fetal Membranes (RFM), is a major predictor of seropositivity. Camels with a history of RFM showed the strongest association with the disease (OR: 35), while small ruminants with the same history were 9 times more likely to test positive compared to those without.","Retained fetal membranes (RFM), seropositivity, risk factors, small ruminants, camels, Odds Ratio (OR)",medium,4,PENDING,,,
17_brucellosis_ethiopia,17_brucellosis_ethiopia,17_brucellosis_ethiopia_TE3,technical,Describe the laboratory diagnostic sequence and the statistical methods used to identify significant risk factors for brucellosis in this study.,"The researchers employed a two-step diagnostic approach, starting with the Rose Bengal Plate Test (RBPT) for initial screening of serum samples, followed by a competitive enzyme-linked immunosorbent assay (cELISA) for confirmation. Statistical analysis was performed using R software, utilizing both univariable and multivariable logistic regression to calculate odds ratios and determine p-values for risk factors.","Rose Bengal Plate Test (RBPT), cELISA, multivariable logistic regression, R software, screening, serum samples",hard,"4, 7",PENDING,,,
36_integrated_amr_surveillance,36_integrated_amr_surveillance,36_integrated_amr_surveillance_FR1,factual_recall,"How many integrated surveillance systems for ABR were identified in the review, and what is their geographic distribution?","The scoping review identified 14 distinct integrated surveillance systems for ABR. All of these systems operate exclusively in high-income countries, with 11 located in Europe, 2 in North America, and 1 in Asia.","14 systems, high-income countries, Europe, North America, Asia",easy,8,PENDING,,,
36_integrated_amr_surveillance,36_integrated_amr_surveillance,36_integrated_amr_surveillance_CO2,conceptual,"Based on the study's findings, what is the current state of knowledge regarding the outcomes and impacts of integrating ABR surveillance systems?","The study concludes that evidence regarding the actual outcomes and impacts of integration within these surveillance systems is sparse and poorly described in existing literature. While the systems can be categorized by their structural and informational integration, the specific benefits or results stemming from this integration remain under-evidenced.","sparse evidence, outcomes, impacts, poorly described, integration",medium,1,PENDING,,,
36_integrated_amr_surveillance,36_integrated_amr_surveillance,36_integrated_amr_surveillance_TE3,technical,Describe the statistical methodology and the number of variables used to generate the typology of the identified surveillance systems.,The researchers conducted a descriptive analysis of 39 organizational and functional variables across domains like scope and collaboration. A subset of 16 variables was then used in Multiple-correspondence analysis (MCA) and Hierarchical cluster analysis (HCA) to group the 14 systems into four distinct typology clusters based on their levels of informational and structural integration.,"39 variables, 16 variables for MCA/HCA, Multiple-correspondence analysis (MCA), Hierarchical cluster analysis (HCA), four typology clusters, informational and structural integration",hard,"1, 14",PENDING,,,
01_sarek,01_sarek,01_sarek_FR1,factual_recall,"What is the total storage capacity required for the resulting BAM, annotated VCF, and CNV files for a 90x/90x tumor/normal WGS dataset processed by Sarek?","Processing a 90x/90x WGS dataset requires approximately 1.4 TB (specifically 1378 GB) for the final result files, excluding temporary data. This storage allocation covers BAM files, annotated VCF files, and CNV files.","1.4 TB, 1378 GB, 90x/90x dataset, BAM files, VCF files",easy,4,PENDING,,,
01_sarek,01_sarek,01_sarek_CO2,conceptual,How does the Sarek workflow architecture address the dual needs of computational reproducibility and scientific best practices in variant calling?,"Sarek ensures computational reproducibility and portability by utilizing the Nextflow workflow language alongside containerization (Docker, Singularity) and environment management (Conda). Scientifically, it adheres to GATK best-practice recommendations for pre-processing steps, such as deduplication and recalibration, before performing variant calling using established tools like HaplotypeCaller or Mutect2.","Nextflow, Containerization, GATK best-practice, Reproducibility, Portability",medium,1-2,PENDING,,,
01_sarek,01_sarek,01_sarek_TE3,technical,"Based on the benchmarking results, what is the specific F1 score achieved for somatic single-base mutations (SSM) when using the intersection of GATK4 Mutect2 and Strelka2?",Sarek achieves an F1 score of 0.80 for somatic single-base mutations (SSM) when evaluating the intersection of the GATK4 Mutect2 and Strelka2 callers. This result is based on benchmarking against a defined 'Gold Set' as described in the somatic variant calling analysis.,"F1 score, 0.80, Mutect2, Strelka2, Intersection",hard,6,PENDING,,,
40_animal_agriculture_one_health,40_animal_agriculture_one_health,40_animal_agriculture_one_health_FR1,factual_recall,What percentage of all human pathogens and emerging diseases affecting humans are estimated to be zoonotic in origin?,"According to the paper, approximately 60% of all human pathogens and 75% of emerging diseases affecting humans are zoonotic. These diseases are estimated to cause about one billion cases worldwide each year.","60% of human pathogens, 75% of emerging diseases, zoonotic, one billion cases",easy,2,PENDING,,,
40_animal_agriculture_one_health,40_animal_agriculture_one_health,40_animal_agriculture_one_health_CO2,conceptual,How does animal agriculture facilitate the development and transmission of antimicrobial resistance (AMR) from farms to the human population?,"Animal agriculture facilitates AMR through the high-volume use of antimicrobials for non-therapeutic purposes like growth promotion, which creates selective pressure for resistant bacteria. These resistant strains develop through biological mechanisms like horizontal gene transfer (HGT) and vertical transmission, eventually spreading to humans via direct contact, contaminated food products, and environmental routes.","growth promotion, horizontal gene transfer (HGT), environmental contamination, non-therapeutic use, selective pressure",medium,"2, 4, 8",PENDING,,,
40_animal_agriculture_one_health,40_animal_agriculture_one_health,40_animal_agriculture_one_health_TE3,technical,"Based on the paper's findings, what are the specific projected global health and economic impacts of antimicrobial resistance (AMR) by the year 2050?","By the year 2050, antimicrobial resistance is predicted to result in 10 million human deaths annually. Furthermore, the economic burden is expected to be significant, with global healthcare costs exceeding $1 trillion USD per year.","10 million deaths, $1 trillion USD, 2050, healthcare costs, annual mortality",medium,6,PENDING,,,
46_methylpipe,46_methylpipe,46_methylpipe_FR1,factual_recall,"According to the performance metrics, how many human promoters can methylPipe profile in approximately 50 seconds using a single core?","In a performance test using a single core and less than 1GB of RAM peak usage, methylPipe is able to profile 100 human promoters in a sample in approximately 50 seconds.","100 human promoters, 50 seconds, single core, 1GB RAM",easy,9,PENDING,,,
46_methylpipe,46_methylpipe,46_methylpipe_CO2,conceptual,"Based on the comparative analysis against other software tools, what distinguishes methylPipe and radMeth from packages such as BiSeq or bsseq for WGBS tasks?","MethylPipe and radMeth are distinguished by their efficiency and scalability; they were the only tools evaluated that successfully completed all proposed Whole Genome Bisulfite Sequencing (WGBS) analysis tasks using standard computational resources. In contrast, other tools like BiSeq, M3D, and bsseq failed to complete all tasks under the same standard resource constraints.","WGBS analysis tasks, standard resources, efficiency, radMeth, scalability",medium,8,PENDING,,,
46_methylpipe,46_methylpipe,46_methylpipe_TE3,technical,"What statistical algorithms does the system use for identifying Differentially Methylated Regions (DMRs), and what are the resource requirements for genome-wide identification?","The system utilizes Wilcoxon and Kruskal-Wallis tests for the identification of Differentially Methylated Regions (DMRs). For a full genome-wide analysis between two WGBS samples, this process requires approximately 45 minutes of computation time using 10 cores and reaches a peak memory usage of 28GB RAM.","Wilcoxon test, Kruskal-Wallis test, 45 minutes, 10 cores, 28GB RAM",hard,9,PENDING,,,
05_multiqc,05_multiqc,05_multiqc_FR1,factual_recall,"According to the paper, how many common bioinformatics tools does MultiQC support at the time of writing?","MultiQC successfully aggregates output from 22 common bioinformatics tools. This includes a variety of tools such as aligners, processing tools, and quality control (QC) programs.","22, bioinformatics tools, aligners, processing tools, QC programs",easy,2,PENDING,,,
05_multiqc,05_multiqc,05_multiqc_CO2,conceptual,How does MultiQC's approach to data presentation assist researchers in identifying quality issues across large-scale projects?,"By aggregating data from multiple samples into a single report with shared plots, MultiQC allows for a fast scan of key statistics across an entire project. This centralized view facilitates the identification of batch effects and outliers through accurate comparison between samples, revealing subtle differences that might be missed in individual reports.","batch effects, outliers, shared plots, sample comparison, centralized report",medium,1-2,PENDING,,,
05_multiqc,05_multiqc,05_multiqc_TE3,technical,Which specific software libraries and architectural mechanisms does MultiQC use to handle data visualization and support custom extensions?,"MultiQC utilizes the Jinja2 template engine for rendering HTML reports, with HighCharts for interactive JavaScript visualizations and MatPlotLib for static plots in large datasets. For extensibility, it employs a plugin system using Python setuptools entry points to allow for custom submodules and extensions.","HighCharts, MatPlotLib, Jinja2, setuptools entry points, plugin system",hard,Methods,PENDING,,,
31_amr_one_health,31_amr_one_health,31_amr_one_health_FR1,factual_recall,"According to the World Health Organization's 2019 data, how many of the 32 antimicrobials in hospital development were classified as innovative?","In 2019, the World Health Organization (WHO) identified 32 antimicrobials in hospital development, but only six of these were classified as innovative. This finding highlights a critical lack of new and innovative treatments in the development pipeline.","WHO, 32 antimicrobials, six innovative, hospital development, lack of new treatments",easy,1,PENDING,,,
31_amr_one_health,31_amr_one_health,31_amr_one_health_CO2,conceptual,How does the metabolism and excretion of antimicrobials in animals contribute to environmental concerns within the One Health framework?,"Within the One Health perspective, animal health and environmental health are linked by the fact that animals excrete a significant percentage (75%–90%) of antimicrobials without them being metabolized. Because the volume of antimicrobials used in animals is greater than in humans, this leads to the widespread dispersion of active substances into the environment, potentially driving resistance.","One Health, 75%–90%, unmetabolized, environmental dispersion, animal excretion",medium,"2, 3, 4",PENDING,,,
31_amr_one_health,31_amr_one_health,31_amr_one_health_TE3,technical,Compare the recorded usage in tons of fluoroquinolones and third- and fourth-generation cephalosporins in animals between Europe (2017) and the USA (2018).,"In Europe (2017), animal usage was recorded at 18 tons of third- and fourth-generation cephalosporins and 216 tons of fluoroquinolones. In contrast, the USA (2018) recorded higher cephalosporin usage at 31.44 tons but significantly lower fluoroquinolone usage at 23.3 tons.","18 tons, 216 tons, 31.44 tons, 23.3 tons, fluoroquinolones, cephalosporins",hard,"3, 4",PENDING,,,
21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review_FR1,factual_recall,"In cattle, which two bacterial phyla are the most abundant and what percentage of the gastrointestinal tract bacterial community can they represent?","In cattle, the most abundant bacterial phyla are Bacteroidetes and Firmicutes. Together, these two phyla can account for more than 90% of the entire gastrointestinal tract (GIT) bacterial community.","Bacteroidetes, Firmicutes, 90%, gastrointestinal tract, bacterial phyla",easy,4,PENDING,,,
21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review_CO2,conceptual,What are the primary biases currently existing in livestock gut microbiome research regarding breed selection and taxonomic focus?,"Research is currently biased toward a small number of globally distributed, highly selected cosmopolitan breeds, which leads to an oversight of local breeds adapted to harsh environments. Furthermore, there is a significant taxonomic bias where the bulk of research focuses almost exclusively on bacteria, leaving other components like protists, fungi, and viruses under-studied.","cosmopolitan breeds, local breeds, taxonomic bias, non-bacterial components, protists, fungi",medium,1,PENDING,,,
21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review,21_livestock_gut_microbiome_review_TE3,technical,Which specific bioinformatics tools and molecular sequencing techniques are utilized in the analysis of the livestock microbiome as described in the paper's methods?,"The study utilizes molecular techniques including Amplicon Metabarcoding (targeting 16S, 18S, and ITS rRNA), Shotgun Metagenomic Sequencing, and Metatranscriptomics (RNASeq). For data processing and functional prediction, bioinformatics tools such as QIIME, PICRUSt, and Tax4Fun are employed.","Amplicon Metabarcoding, Shotgun Metagenomic Sequencing, QIIME, PICRUSt, Tax4Fun, Metatranscriptomics",hard,1,PENDING,,,
12_hpai_netherlands,12_hpai_netherlands,12_hpai_netherlands_FR1,factual_recall,What was the specific percentage increase in the distribution of HPAI outbreaks in meat-type poultry when comparing the 2014–2018 period to the 2020–2022 period?,The distribution of HPAI outbreaks in meat-type poultry increased from 6.3% in the 2014–2018 period to 39.5% in the 2020–2022 period.,"meat-type poultry, 6.3%, 39.5%, 2014–2018, 2020–2022",easy,6,PENDING,,,
12_hpai_netherlands,12_hpai_netherlands,12_hpai_netherlands_CO2,conceptual,How do the clinical presentations and mortality detection thresholds of HPAI differ between chicken populations (Galliformes) and duck populations (Anseriformes) according to the study?,"Ducks are more likely to exhibit nervous/locomotor (66.7%) and reproductive signs (100%), whereas chickens primarily show mucosal/skin signs (55.0–67.8%). Additionally, chickens are more easily detected via mortality monitoring, with over 80% reaching a Mortality Ratio (MR) > 3 before notification, compared to only 53.8% of duck flocks.","nervous/locomotor signs, reproductive tract signs, mucosal/skin signs, Mortality Ratio (MR), Galliformes, Anseriformes",hard,"7, 9",PENDING,,,
12_hpai_netherlands,12_hpai_netherlands,12_hpai_netherlands_TE3,technical,How did the researchers define and calculate the Mortality Ratio (MR) metric used to assess early warning signals on the infected farms?,The Mortality Ratio (MR) was calculated by comparing the mortality recorded on the day before notification to the average mortality recorded during the previous week. A threshold of MR > 3 was specifically used to identify farms that reached an early warning level of increased mortality.,"day-before-notification mortality, average of the previous week, Mortality Ratio, MR > 3, early warning threshold",medium,"Methods, 9",PENDING,,,
20_lsd_review,20_lsd_review,20_lsd_review_FR1,factual_recall,What is the reported efficacy of the homologous vaccine Lumpi-ProVacInd developed in India?,"The homologous vaccine Lumpi-ProVacInd, which was developed by scientists at the Indian Council of Agricultural Research (ICAR), has an efficacy rate of 100%.","Lumpi-ProVacInd, ICAR, 100%, homologous vaccine",easy,6,PENDING,,,
20_lsd_review,20_lsd_review,20_lsd_review_CO2,conceptual,How does the clinical impact of Lumpy Skin Disease Virus (LSDV) differ in terms of its spread within a herd versus its lethality?,"LSDV is characterized by extremely high morbidity but relatively low mortality. While the illness can spread to up to 100% of a cattle herd (high morbidity), the mortality rate typically remains below 10%. The impact is primarily seen through widespread clinical symptoms like fever, skin nodules, and decreased milk production rather than high death rates.","high morbidity, low mortality, 100% morbidity, 10% mortality, clinical symptoms",medium,4,PENDING,,,
20_lsd_review,20_lsd_review,20_lsd_review_TE3,technical,"According to the comparative analysis of vaccinations, what is the specific cross-protection rate between LSDV and related poxviruses, and which viruses are involved?",LSDV shares a high cross-protection rate of approximately 96% when vaccinations are administered using the Sheep Pox Virus and the Goat Pox Virus. This high rate of protection is a key factor in using these related virus strains for immunization strategies.,"96% cross-protection, Sheep Pox Virus, Goat Pox Virus, vaccination efficacy",hard,2,PENDING,,,
33_amr_food_animals,33_amr_food_animals,33_amr_food_animals_FR1,factual_recall,"What percentage of antibiotics administered to food animals is estimated to be excreted without being absorbed, and through what primary mediums does this occur?","According to the paper, approximately 75% of antibiotics administered to food animals are not absorbed by their bodies. These substances are subsequently excreted into the environment through the animal's feces and urine.","75%, excreted, feces, urine, not absorbed",easy,1,PENDING,,,
33_amr_food_animals,33_amr_food_animals,33_amr_food_animals_CO2,conceptual,How do antibiotic-resistant bacteria (ARB) and genes (ARGs) originate in food animal farms and eventually reach the human population through different environmental and occupational pathways?,"ARB and ARGs spread from farms to humans via a multi-faceted process involving direct contact, environmental dispersion, and the food chain. Occupational risks are high for slaughterhouse workers (e.g., 50% MDR E. coli prevalence), while environmental transmission occurs through bioaerosols that can travel up to 10 km and the contamination of water and soil that eventually enters the human food supply or healthcare systems.","bioaerosols, occupational risk, food chain, environmental contamination, transmission pathways, direct contact",medium,"2, 7",PENDING,,,
33_amr_food_animals,33_amr_food_animals,33_amr_food_animals_TE3,technical,"Based on the findings regarding novel mitigation technologies, what is the specific mechanism and efficiency of using graphene oxide (GO) nanosheets for water treatment?",Graphene oxide (GO) nanosheets are used to remove antibiotic resistance genes (ARGs) from water with an efficiency of approximately 80%. This removal is achieved through a specific chemical mechanism known as π-stacking (pi-stacking) interactions between the ARGs and the nanosheets.,"Graphene oxide, 80% removal, π-stacking, nanosheets, ARGs",hard,8,PENDING,,,
34_one_health_framework,34_one_health_framework,34_one_health_framework_FR1,factual_recall,What are the estimated annual public health and economic benefits of the PulseNet laboratory network according to the paper?,"The PulseNet laboratory network is estimated to avert 270,000 foodborne illnesses and save US $507 million annually. These results are achieved through the effective sharing of laboratory data.","PulseNet, 270,000 foodborne illnesses, US $507 million, data sharing",easy,6,PENDING,,,
34_one_health_framework,34_one_health_framework,34_one_health_framework_CO2,conceptual,How does the Generalized One Health Framework (GOHF) aim to improve zoonotic disease programming?,"The GOHF improves zoonotic disease programming by providing a five-step stepwise framework coupled with a resource toolkit that synthesizes successful existing processes and idealized models. It distinguishes between overarching One Health systems and specific disease programs, utilizing cross-cutting technical domains to achieve defined objectives and outcomes at each stage.","Generalized One Health Framework, five-step stepwise framework, resource toolkit, zoonotic disease programming, technical domains",medium,"2, 3",PENDING,,,
34_one_health_framework,34_one_health_framework,34_one_health_framework_TE3,technical,"According to the paper, what is the specific threshold for dog vaccination coverage required for rabies control, and how does smartphone-based H5N1 detection compare to traditional methods?","For rabies control, a critical threshold of 70% or higher vaccination coverage in dog populations is required to reduce human cases. Regarding H5N1 avian influenza, smartphone-based diagnostic systems achieve a two-fold higher detectability than traditional fluorescent strip readers in clinical samples.","70% vaccination coverage, rabies, H5N1 avian influenza, two-fold higher detectability, fluorescent strip readers",hard,"5, 6",PENDING,,,
44_eu_amr_report_2022,44_eu_amr_report_2022,44_eu_amr_report_2022_FR1,factual_recall,"According to the 2022 data for human Salmonella cases, what was the specific resistance percentage observed for S. Kentucky against ciprofloxacin?",An extremely high proportion of 72.7% resistance was noted in S. Kentucky isolates from human cases in 2022.,"72.7%, S. Kentucky, ciprofloxacin resistance",easy,5,PENDING,,,
44_eu_amr_report_2022,44_eu_amr_report_2022,44_eu_amr_report_2022_CO2,conceptual,"Based on the reported resistance levels in 2021-2022, what is the clinical implication regarding the use of fluoroquinolones for treating human Campylobacter infections?",Fluoroquinolones can no longer be recommended for the treatment of Campylobacter infections in humans because C. jejuni and C. coli from both human and animal origins showed high to extremely high levels of resistance to these antimicrobials.,"no longer recommended for treatment, high to extremely high resistance, human and animal origins",medium,5,PENDING,,,
44_eu_amr_report_2022,44_eu_amr_report_2022,44_eu_amr_report_2022_TE3,technical,"From 2021 onwards, what method was authorized as an alternative to the supplementary (panel 2) phenotypic testing for Salmonella and indicator E. coli isolates showing resistance to extended-spectrum cephalosporins and/or carbapenems?",Whole genome sequencing (WGS) was authorized as an alternative method to supplementary phenotypic testing for these resistant isolates.,"whole genome sequencing, WGS, phenotypic testing alternative, extended-spectrum cephalosporins, carbapenems",hard,5,PENDING,,,
26_gut_meat_quality,26_gut_meat_quality,26_gut_meat_quality_FR1,factual_recall,Which specific bacterial genera are positively correlated with higher intramuscular fat (IMF) content in pigs according to the gut microbiome studies cited?,"According to the paper, the specific bacterial genera positively correlated with higher intramuscular fat (IMF) content in pigs are Ruminococcaceae_NK4A214_group, Parabacteroides, and Christensenellaaceae_R-7_group. These genera were found to have higher relative abundances in correlation with increased IMF.","Ruminococcaceae_NK4A214_group, Parabacteroides, Christensenellaaceae_R-7_group, intramuscular fat, pigs",easy,3,PENDING,,,
26_gut_meat_quality,26_gut_meat_quality,26_gut_meat_quality_CO2,conceptual,How do short-chain fatty acids (SCFAs) bridge the gap between dietary fiber intake and the regulation of host fat accumulation and metabolism?,"SCFAs are produced through the microbial fermentation of dietary fiber. They regulate host health and meat quality by acting as signaling molecules; specifically, acetate-dependent stimulation of GPR43 in white adipose tissue improves glucose and lipid metabolism, while other SCFA-driven pathways involve the modulation of TLR4, mTOR, and PPAR signaling to influence fat accumulation.","microbial fermentation, GPR43, mTOR, PPAR, lipid metabolism, signaling pathways",medium,"2, 4, 6, 9",PENDING,,,
26_gut_meat_quality,26_gut_meat_quality,26_gut_meat_quality_TE3,technical,"What metric is used to quantify the impact of the gut microbiome on rabbit finishing weight, and which specific host genes are highlighted as part of the microbial-influenced pathway for intramuscular fat accumulation?","The gut microbiome explains nearly 11% of the variation in the finishing weight of rabbits. In terms of molecular pathways, the host genes Fabp9 and Scd1 are specifically identified as being related to intramuscular fat accumulation in connection with gut microorganisms like Prevotella and Alistipes.","11% variation, finishing weight, Fabp9, Scd1, intramuscular fat",hard,"4, 5",PENDING,,,
02_snakemake,02_snakemake,02_snakemake_FR1,factual_recall,"According to the performance benchmarks provided in the paper, what are the specific time and memory requirements for the Snakemake scheduler to compute a graph of 90,000 jobs?","The Snakemake scheduler requires 37 seconds and 1.1 GB of memory to compute a graph for 90,000 jobs. This performance demonstrates that the scheduler scales linearly as the number of jobs increases.","37 seconds, 1.1 GB, 90,000 jobs, linear scaling",medium,18,PENDING,,,
02_snakemake,02_snakemake,02_snakemake_CO2,conceptual,How does Snakemake's implementation of a blockchain-style hashing scheme facilitate cross-workflow result caching?,"Snakemake employs a blockchain-style SHA-256 hashing scheme to create unique identifiers for job states based on code, parameters, and input data. This allows the system to recognize identical tasks across different workflow runs or projects, enabling the reuse of cached results and ensuring traceability of the data provenance.","SHA-256, hashing, result caching, cross-workflow, provenance",medium,12,PENDING,,,
02_snakemake,02_snakemake,02_snakemake_TE3,technical,Explain the technical approach Snakemake uses to optimize job scheduling and how it handles job submission overhead in cluster or cloud environments.,"Snakemake uses Mixed Integer Linear Programming (MILP) to solve the scheduling problem by defining an objective function and constraints related to resources and temporary files. To handle overhead in cluster or cloud environments, it utilizes graph partitioning to group multiple rules/jobs into a single submitted unit, which reduces the frequency and cost of job submissions.","Mixed Integer Linear Programming (MILP), objective function, graph partitioning, job grouping, cluster/cloud overhead",hard,"10, 13",PENDING,,,
48_myc_oncogene,48_myc_oncogene,48_myc_oncogene_FR1,factual_recall,How many primary MYC-induced and repressed genes were identified via RNA-seq following a 16-hour inactivation of MYC?,"Following a 16-hour short-term inactivation of MYC, RNA-seq analysis identified approximately 1,200–1,400 primary MYC-induced and repressed genes. These genes represent the subset that requires continuous MYC activity for their activation or repression.","1,200–1,400, primary genes, 16-hour inactivation, RNA-seq, MYC-induced",easy,1,PENDING,,,
48_myc_oncogene,48_myc_oncogene,48_myc_oncogene_CO2,conceptual,"Based on the findings regarding the V394D mutant, what is the functional significance of the MYC-MIZ1 interaction in the context of liver tumor development?","The interaction between MYC and the corepressor MIZ1 is essential for liver tumor initiation and the effective repression of specific target genes. Mice with the MYC-V394D mutant, which cannot bind MIZ1, exhibit impaired cellular transformation and significantly delayed tumorigenesis compared to wild-type MYC, indicating that MYC's ability to repress genes via MIZ1 is a critical driver of oncogenesis.","MIZ1, tumor initiation, V394D mutant, gene repression, cellular transformation",medium,"3, 7",PENDING,,,
48_myc_oncogene,48_myc_oncogene,48_myc_oncogene_TE3,technical,"How does MYC activity influence RNA Polymerase II (RNAPII) across different gene categories, and how does this relate to the predictive power of MYC-binding profiles?","MYC influences gene expression primarily by regulating the loading of RNA Polymerase II (RNAPII) at both activated and repressed loci. Despite this regulatory role, genomic MYC-binding profiles obtained by ChIP-seq are not predictive of whether a gene will be up- or downregulated, because overexpressed MYC associates widely with already active promoters regardless of whether those genes are primary or secondary MYC targets.","RNAPII loading, ChIP-seq, active promoters, binding profiles, up- or downregulated",hard,"7, 8",PENDING,,,
13_lsd_nepal,13_lsd_nepal,13_lsd_nepal_FR1,factual_recall,"What were the overall morbidity, mortality, and case fatality rates recorded during the LSD outbreak in the study area?","The overall morbidity rate of LSD in the study area was 28.02%, while the mortality rate was 3.06%. Additionally, the case fatality rate (CFR) for the outbreak was calculated to be 10.90%, based on 47 deaths out of 431 sick animals.","morbidity rate 28.02%, mortality rate 3.06%, case fatality rate, 10.90%, Nawalpur district",easy,1,PENDING,,,
13_lsd_nepal,13_lsd_nepal,13_lsd_nepal_CO2,conceptual,"Based on the epidemiological data, which specific cattle group was most affected by the outbreak and what were the primary clinical manifestations observed?","Dry cattle, including pregnant cows and heifers, were the most affected group with a morbidity rate of 47.62%, which was higher than that of milking cattle. The outbreak was primarily characterized by skin nodules, found in 97% of case farms, followed by a significant decrease in milk production and lameness.","dry cattle, morbidity, skin nodules, milk production, heifers, lameness",medium,5-6,PENDING,,,
13_lsd_nepal,13_lsd_nepal,13_lsd_nepal_TE3,technical,"According to the multivariable logistic regression analysis, what was identified as the most significant risk factor for LSD transmission and what were its associated statistical metrics?","The multivariable analysis identified the presence of clinical signs in neighboring farms as the most significant risk factor for the spread of LSD. This variable showed an Odds Ratio (OR) of 88.45, with a 95% Confidence Interval of 13.27–589.36 and a statistical significance of p < 0.001.","multivariable logistic regression, Odds Ratio, neighboring farms, 88.45, 95% CI, p-value",hard,7,PENDING,,,
09_seqkit,09_seqkit,09_seqkit_FR1,factual_recall,Which operating systems are supported by SeqKit and what are the requirements for their installation and configuration?,"SeqKit provides executable binary files for all major operating systems, specifically Windows, Linux, and Mac OSX. These binaries are designed to be used directly without the need for any external dependencies or pre-configurations.","Windows, Linux, Mac OSX, executable binary, dependencies",easy,1,PENDING,,,
09_seqkit,09_seqkit,09_seqkit_CO2,conceptual,How does SeqKit achieve stable memory usage and efficiency when processing datasets that are significantly larger than the human genome?,"SeqKit maintains a stable peak memory usage of approximately 750-780 Mb by implementing a two-pass file reading mode and using indices instead of loading entire files into memory. Additionally, it utilizes MD5 digests to represent sequence content, which allows for memory-efficient deduplication even when the input data volume increases up to 32 times the human genome size.","two-pass mode, MD5 digests, deduplication, peak memory, indices",medium,"1, 8",PENDING,,,
09_seqkit,09_seqkit,09_seqkit_TE3,technical,"What specific technical optimization was applied to SeqKit's reverse complementation process, and what was the measured performance gain compared to using standard hash maps?","The authors optimized the reverse complementation process by using a slice data structure and ASCII code indexing. This approach replaced the standard use of hash maps, resulting in an approximate 20-fold (20x) increase in execution speed.","reverse complementation, slice data structure, ASCII code indexing, hash maps, 20x speedup",hard,1,PENDING,,,
03_nfcore_framework,03_nfcore_framework,03_nfcore_framework_FR1,factual_recall,"According to the findings, what was the specific reduction in storage usage for the work directory when switching from BAM to CRAM, and what were the corresponding data volumes?","Switching from BAM to CRAM format reduced the storage usage for the work directory by 65%. Specifically, the storage volume dropped from 170.4 TB when using BAM to 59.7 TB when using CRAM.","65% reduction, CRAM, 170.4 TB, 59.7 TB, work directory",easy,7,PENDING,,,
03_nfcore_framework,03_nfcore_framework,03_nfcore_framework_CO2,conceptual,How does the nf-core/sarek 3.1.1 pipeline leverage architectural and methodological changes to optimize cost and performance for large-scale data analysis?,"The pipeline achieves significant optimization by transitioning to the Nextflow DSL2 framework, which allows for modular design and intra-sample parallelization through FastQ sharding. By combining these parallelization techniques with a switch from BAM to CRAM internal file formats and the integration of modern tools like DeepVariant, the system realizes a 70% reduction in commercial cloud costs and up to an 84% reduction in runtime for single samples.","Nextflow DSL2, intra-sample parallelization, sharding, CRAM, 70% cost reduction",medium,"1, 2, 6, 8",PENDING,,,
03_nfcore_framework,03_nfcore_framework,03_nfcore_framework_TE3,technical,"Based on the benchmarking of mapping processes, what was the numerical impact of input sharding on median runtime, and at what point was the maximum efficiency plateau reached?",Sharding the input files for intra-sample parallelization reduced the median runtime of the mapping processes to 37% of the original time. The benchmarking results show that this reduction in runtime reaches a performance plateau when the input is divided into 12 shards.,"sharding, median runtime, 37%, 12 shards, plateau",hard,"7, 8",PENDING,,,
